"Assets, Liabilities, and Capital"
"Comparison Type: All Institutions - Assets Size Distribution"
"Dollar Figures in Thousands (USD) or Percent of Average Assets Annualized"
"","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions","","Peer Group","All Institutions"
"","","Report Period","20241231","","Report Period","20240930","","Report Period","20240630","","Report Period","20240331","","Report Period","20231231","","Report Period","20230930","","Report Period","20230630","","Report Period","20230331","","Report Period","20221231","","Report Period","20220930","","Report Period","20220630","","Report Period","20220331","","Report Period","20211231","","Report Period","20210930","","Report Period","20210630","","Report Period","20210331","","Report Period","20201231","","Report Period","20200930","","Report Period","20200630","","Report Period","20200331","","Report Period","20191231","","Report Period","20190930","","Report Period","20190630","","Report Period","20190331","","Report Period","20181231","","Report Period","20180930","","Report Period","20180630","","Report Period","20180331","","Report Period","20171231","","Report Period","20170930","","Report Period","20170630","","Report Period","20170331","","Report Period","20161231","","Report Period","20160930","","Report Period","20160630","","Report Period","20160331","","Report Period","20151231","","Report Period","20150930","","Report Period","20150630","","Report Period","20150331"
"","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD","","Income Basis","YTD"
"","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$","","Unit Type","$"
"1. Number of Institutions Reporting","","TOTAL","4487","","TOTAL","4517","","TOTAL","4538","","TOTAL","4568","","TOTAL","4587","","TOTAL","4614","","TOTAL","4645","","TOTAL","4672","","TOTAL","4706","","TOTAL","4746","","TOTAL","4771","","TOTAL","4796","","TOTAL","4839","","TOTAL","4912","","TOTAL","4948","","TOTAL","4976","","TOTAL","5000","","TOTAL","5031","","TOTAL","5064","","TOTAL","5112","","TOTAL","5172","","TOTAL","5253","","TOTAL","5298","","TOTAL","5356","","TOTAL","5406","","TOTAL","5477","","TOTAL","5542","","TOTAL","5606","","TOTAL","5670","","TOTAL","5738","","TOTAL","5787","","TOTAL","5856","","TOTAL","5913","","TOTAL","5980","","TOTAL","6058","","TOTAL","6122","","TOTAL","6182","","TOTAL","6270","","TOTAL","6348","","TOTAL","6419"
"2. Total Employees (full-time equivalent)","","NUMEMP","2,051,418","","NUMEMP","2,055,027","","NUMEMP","2,056,995","","NUMEMP","2,074,268","","NUMEMP","2,078,686","","NUMEMP","2,098,499","","NUMEMP","2,115,568","","NUMEMP","2,129,289","","NUMEMP","2,125,175","","NUMEMP","2,115,041","","NUMEMP","2,100,337","","NUMEMP","2,088,158","","NUMEMP","2,069,043","","NUMEMP","2,056,498","","NUMEMP","2,058,632","","NUMEMP","2,067,145","","NUMEMP","2,065,530","","NUMEMP","2,071,833","","NUMEMP","2,077,769","","NUMEMP","2,069,196","","NUMEMP","2,063,060","","NUMEMP","2,065,634","","NUMEMP","2,068,990","","NUMEMP","2,065,265","","NUMEMP","2,067,089","","NUMEMP","2,070,600","","NUMEMP","2,077,005","","NUMEMP","2,076,857","","NUMEMP","2,076,128","","NUMEMP","2,084,080","","NUMEMP","2,093,283","","NUMEMP","2,081,563","","NUMEMP","2,052,978","","NUMEMP","2,043,457","","NUMEMP","2,045,259","","NUMEMP","2,039,953","","NUMEMP","2,033,727","","NUMEMP","2,038,490","","NUMEMP","2,042,405","","NUMEMP","2,042,686"
"3. Total Assets","","ASSET","$24,098,064,929","","ASSET","$24,209,950,690","","ASSET","$23,886,927,380","","ASSET","$23,957,634,011","","ASSET","$23,666,568,825","","ASSET","$23,408,459,872","","ASSET","$23,461,009,560","","ASSET","$23,715,205,454","","ASSET","$23,595,503,590","","ASSET","$23,627,034,719","","ASSET","$23,717,494,849","","ASSET","$23,973,187,579","","ASSET","$23,719,744,572","","ASSET","$23,251,698,965","","ASSET","$22,774,194,925","","ASSET","$22,546,685,795","","ASSET","$21,868,541,076","","ASSET","$21,209,157,126","","ASSET","$21,139,128,374","","ASSET","$20,254,673,655","","ASSET","$18,645,042,703","","ASSET","$18,481,257,844","","ASSET","$18,265,210,736","","ASSET","$18,088,794,535","","ASSET","$17,942,991,760","","ASSET","$17,672,831,760","","ASSET","$17,532,878,340","","ASSET","$17,530,252,166","","ASSET","$17,415,409,638","","ASSET","$17,242,501,094","","ASSET","$17,069,493,576","","ASSET","$16,965,580,738","","ASSET","$16,779,681,324","","ASSET","$16,766,622,237","","ASSET","$16,533,969,432","","ASSET","$16,293,275,899","","ASSET","$15,967,662,111","","ASSET","$15,800,092,047","","ASSET","$15,753,630,867","","ASSET","$15,777,971,708"
"Cash and Balances due from Depository Institutions","","CHBAL","$2,689,095,949","","CHBAL","$2,697,892,504","","CHBAL","$2,731,035,439","","CHBAL","$2,926,091,463","","CHBAL","$2,847,120,137","","CHBAL","$2,703,876,223","","CHBAL","$2,703,750,197","","CHBAL","$2,841,822,791","","CHBAL","$2,578,236,187","","CHBAL","$2,690,204,921","","CHBAL","$2,821,742,415","","CHBAL","$3,375,812,107","","CHBAL","$3,559,266,042","","CHBAL","$3,647,874,422","","CHBAL","$3,520,949,418","","CHBAL","$3,628,853,255","","CHBAL","$3,188,495,888","","CHBAL","$2,829,464,031","","CHBAL","$2,885,624,094","","CHBAL","$2,405,672,783","","CHBAL","$1,667,290,708","","CHBAL","$1,626,662,505","","CHBAL","$1,618,295,354","","CHBAL","$1,699,695,088","","CHBAL","$1,694,543,946","","CHBAL","$1,838,829,390","","CHBAL","$1,832,478,660","","CHBAL","$1,958,926,602","","CHBAL","$1,916,161,143","","CHBAL","$1,925,613,195","","CHBAL","$1,871,758,145","","CHBAL","$1,968,764,288","","CHBAL","$1,810,001,238","","CHBAL","$1,879,258,778","","CHBAL","$1,842,145,742","","CHBAL","$1,879,310,501","","CHBAL","$1,757,589,541","","CHBAL","$1,790,064,071","","CHBAL","$1,846,451,144","","CHBAL","$2,004,491,209"
"Noninterest Bearing Balances","","CHBALNI","$229,685,721","","CHBALNI","$239,107,137","","CHBALNI","$240,248,596","","CHBALNI","$217,367,802","","CHBALNI","$244,561,218","","CHBALNI","$224,467,645","","CHBALNI","$232,481,566","","CHBALNI","$228,167,860","","CHBALNI","$250,249,983","","CHBALNI","$228,279,610","","CHBALNI","$246,500,119","","CHBALNI","$245,047,549","","CHBALNI","$236,764,812","","CHBALNI","$255,941,159","","CHBALNI","$253,853,077","","CHBALNI","$271,139,745","","CHBALNI","$263,916,952","","CHBALNI","$238,738,946","","CHBALNI","$234,980,368","","CHBALNI","$230,060,324","","CHBALNI","$215,081,579","","CHBALNI","$227,940,297","","CHBALNI","$216,944,223","","CHBALNI","$211,169,358","","CHBALNI","$224,823,904","","CHBALNI","$215,122,929","","CHBALNI","$211,757,488","","CHBALNI","$194,177,106","","CHBALNI","$224,282,122","","CHBALNI","$205,502,969","","CHBALNI","$203,572,032","","CHBALNI","$201,685,066","","CHBALNI","$213,957,977","","CHBALNI","$201,864,153","","CHBALNI","$202,002,651","","CHBALNI","$191,419,673","","CHBALNI","$197,227,117","","CHBALNI","$192,884,521","","CHBALNI","$211,154,904","","CHBALNI","$206,370,193"
"Interest Bearing Balances","","CHBALI","$2,459,410,228","","CHBALI","$2,458,785,367","","CHBALI","$2,490,786,843","","CHBALI","$2,708,723,661","","CHBALI","$2,602,558,919","","CHBALI","$2,479,408,578","","CHBALI","$2,471,268,631","","CHBALI","$2,613,654,931","","CHBALI","$2,327,986,204","","CHBALI","$2,461,925,311","","CHBALI","$2,575,242,296","","CHBALI","$3,130,764,558","","CHBALI","$3,322,501,230","","CHBALI","$3,391,933,263","","CHBALI","$3,267,096,341","","CHBALI","$3,357,713,510","","CHBALI","$2,924,578,936","","CHBALI","$2,590,725,085","","CHBALI","$2,650,643,726","","CHBALI","$2,175,612,459","","CHBALI","$1,452,209,129","","CHBALI","$1,398,722,208","","CHBALI","$1,401,351,131","","CHBALI","$1,488,525,730","","CHBALI","$1,469,720,042","","CHBALI","$1,623,706,461","","CHBALI","$1,620,721,172","","CHBALI","$1,764,749,496","","CHBALI","$1,691,879,021","","CHBALI","$1,720,110,226","","CHBALI","$1,668,186,113","","CHBALI","$1,767,079,222","","CHBALI","$1,596,043,261","","CHBALI","$1,677,394,625","","CHBALI","$1,640,143,091","","CHBALI","$1,687,890,828","","CHBALI","$1,560,362,424","","CHBALI","$1,597,179,550","","CHBALI","$1,635,296,240","","CHBALI","$1,798,121,016"
"Cash Items in Process of Collection","","CHCIC","$158,864,835","","CHCIC","$156,696,764","","CHCIC","$162,559,657","","CHCIC","$144,996,759","","CHCIC","$165,963,478","","CHCIC","$146,335,224","","CHCIC","$152,064,828","","CHCIC","$147,647,071","","CHCIC","$162,667,615","","CHCIC","$140,830,983","","CHCIC","$154,289,599","","CHCIC","$148,650,792","","CHCIC","$132,294,182","","CHCIC","$146,429,412","","CHCIC","$146,660,960","","CHCIC","$148,132,385","","CHCIC","$152,483,460","","CHCIC","$140,829,625","","CHCIC","$146,654,152","","CHCIC","$145,616,006","","CHCIC","$138,205,932","","CHCIC","$145,245,676","","CHCIC","$142,974,328","","CHCIC","$134,484,433","","CHCIC","$149,371,408","","CHCIC","$138,952,357","","CHCIC","$135,643,182","","CHCIC","$119,405,058","","CHCIC","$152,560,453","","CHCIC","$127,713,132","","CHCIC","$135,333,306","","CHCIC","$124,599,017","","CHCIC","$144,377,480","","CHCIC","$126,900,373","","CHCIC","$129,752,487","","CHCIC","$122,098,443","","CHCIC","$128,841,299","","CHCIC","$120,209,493","","CHCIC","$133,126,780","","CHCIC","$130,497,974"
