Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Trading Assets,2838707.944296,2739666.639063,2989025.74934,2666473.08027,2652618.041961,2427045.280991,2676692.721942,2269329.194328,2228838.349269,2176125.104162,2429509.219899,2235930.355857,2277801.651667,2297908.271221,2507287.46331,2248873.61275,2318560.549612599,2156409.058872,2407257.646883,2273998.375903,2084553.5586513,2256246.273261,2401012.065904,2074442.7723319,1962107.2663082,1653253.626355,2183133.523756,1906372.2069025,2148400.388694,1983383.0216148,2419414.5384867,2168062.011767,2163966.573944,2182320.946204,2657004.808747,2187679.645049,2394864.803352,2292420.69373,2659065.567028,2757359.3747,2690351.890907,2386716.584168,2626258.834669,2565233.461509,2716223.73972,2607534.99806,2767877.713330001,2825997.1182,3333179.1618,3376811.0372,2699427.4417,1959095.0609,2771981.68776,2461061.735,2443185.52928,2461885.52534,3099917.37329,2266132.0421,2780098.71269,563808.69221
    ABN AMRO Bank NV,2503.0,3095.0,2109.0,2309.0,1371.0,1739.0,1711.0,1398.0,907.0,1946.0,2421.0,2063.0,1155.0,2435.0,2385.0,2195.0,1315.0,2765.0,3397.0,1988.0,1137.0,1963.0,1698.0,1618.0,495.0,1283.0,1430.0,1708.0,1600.0,4478.0,4658.0,3667.0,1607.0,3914.0,38919.0,3412.0,1706.0,8592.0,6648.0,13459.0,,,,27656.0,,,26336.0,28222.0,,,,,,,,,,,,
    Banco de Sabadell SA,1420.956,2846.0,3110.0,3042.0,142.495,3802.0,532.606,3769.0,417.131,5953.0,1632.071,2509.0,592.631,1969.0,542.581,3059.0,314.241,3352.0,824.458,3459.0,600.621,3177.0,438.986,2418.0,324.691,1937.0,295.662,1906.0,131.761,2352.0,319.966,2639.0,1649.726,4841.0,1229.693,4146.0,803.672,3258.0,2254.739,3785.27,623.865,3113.0,712.577,2438.346,601.01,6959.943,373.505,7133.574,339.142,9955.424,213.22,2308.509,1682.12,2330.455,1317.372,1494.592,,2216.381,2324.334,
    Banco Santander SA,189973.0,232039.0,206874.0,209589.0,176921.0,201226.0,183834.0,172889.0,156118.0,179775.0,163235.0,148472.0,116953.0,122967.0,102792.0,109643.0,114945.0,117654.0,124145.0,125846.0,44478.0,46731.0,44476.0,42144.0,36738.0,45469.0,44675.0,50000.0,,126649.0,55969.0,63118.0,63419.0,55997.0,59314.0,64644.0,62189.0,59139.0,69424.0,68976.0,67294.0,68095.0,63514.0,56965.0,45808.0,49259.0,56365.0,54997.0,48593.0,46618.0,53246.0,58539.0,57448.0,66465.0,163607.0,148138.0,139790.419,179953.0,162540.0,
    Barclays PLC,201355.2137,225290.1686,232768.0526,228727.4113,201417.5357,179286.7313,193143.904,156615.9017,151140.8528,143671.3606,147527.2067,159119.1944,174786.468,168621.3902,171482.6736,154120.7489,142874.8834,135191.0127,121182.7357,115267.1589,134880.0681,135818.9847,134539.7302,136043.808,115959.4396,139917.9538,131675.6002,131857.2115,127972.903,104926.5543,103373.3097,105956.8608,93918.91533,93014.81475,91716.11343,95551.06757,104881.781,129040.1531,138241.2624,164093.4604,147719.4692,157077.3356,160916.2034,162702.7337,159868.0872,174417.8409,177457.2461,199482.5298,180120.4201,201876.1194,207571.122,,179022.4453,,,,196977.8091,,203904.2936,
    BNP Paribas SA,493056.0,597597.0,583461.0,596149.0,438809.0,540161.0,506693.0,518945.0,357202.0,463252.0,507413.0,543475.0,441315.0,563099.0,550736.0,574676.0,412805.0,508052.0,513544.0,569545.0,328862.0,582018.0,514640.0,477241.0,305670.0,193411.0,468461.0,434705.0,275274.0,178034.0,340930.0,365766.0,275921.0,348477.0,323431.0,324040.0,265283.0,384634.0,386079.0,478708.0,322322.0,395001.0,361777.0,354316.0,683711.0,341107.0,,336931.0,763799.0,797284.0,,,,,,,832945.0,,,
    Banco Bilbao Vizcaya Argentaria SA,108948.0,127551.0,123821.0,144253.0,141042.0,134804.0,141721.0,119877.0,110671.0,119966.0,120823.0,112131.0,123493.0,109078.0,105523.0,101050.0,108257.0,107468.0,119332.0,125269.0,101736.0,110874.0,105369.0,92366.0,90117.0,90405.0,91018.0,94745.0,64695.0,65670.0,68885.0,74898.0,11390.0,75569.0,84532.0,81706.0,11790.0,83662.0,82693.0,94883.0,14436.0,88023.0,79589.0,76433.0,12590.0,71409.0,72833.0,75750.0,8888.0,83449.0,78792.0,71208.0,9697.0,74859.0,63421.0,57801.0,29618.0,69306.0,73330.0,
    Bankinter SA,3372.005,6729.246,6096.517,4680.486,4505.254,4114.627,4005.271,3916.062,4055.77,5589.781,3922.544,4368.017,4038.256,3791.358,4101.894,4543.928,2158.742,3327.362,3724.974,3876.968,3848.15,3706.22,5001.874,5954.502,5162.908,4342.369,4220.793,2705.693,2734.699,2751.432,3063.025,4105.135,2676.719,3236.871,4218.893,5308.093,4473.638,4430.072,2088.324,4446.104,2404.816,5291.349,3029.788,5235.739,1803.333,3677.131,2589.486,2751.355,1452.753,1676.165,2082.255,2051.631,,5030.665,3371.973,2419.397,1875.834,1845.118,2250.608,3748.42
    CaixaBank SA,5688.0,6566.0,7064.0,6789.0,649.0,7772.0,1119.0,7647.0,419.0,9235.0,986.0,9374.0,606.0,11852.0,860.0,12440.0,1056.0,8158.0,7774.0,8778.0,1177.0,14392.0,1986.668,10434.0,1103.0,9068.0,10077.238,10044.0,8834.02,11883.0,11975.873,13311.0,6844.861,13418.0,15977.0,14769.0,7702.03,15121.0,13829.0,14154.0,12257.0,9470.0,10147.0,8724.0,10002.0,8817.0,9634.0,16705.0,15925.0,14937.0,14483.0,4356.0,4184.0,3742.0,,,3118.0,,,
    Commerzbank AG,,31702.0,29931.0,27389.0,28334.0,31631.0,30750.0,30049.0,33573.0,44903.0,43677.0,40434.0,38155.0,48587.0,49250.0,50514.0,52176.0,52600.0,55414.0,55688.0,44840.0,54660.0,47698.0,46705.0,42501.0,60191.0,60790.0,60125.0,60716.0,70011.0,77505.0,84975.0,88862.0,104475.0,122464.0,118307.0,114824.0,125980.0,129048.0,165559.0,130343.0,136593.0,121677.0,114491.0,103616.0,119472.0,124540.0,144091.0,144144.0,149983.0,143255.0,153975.0,155700.0,181859.0,139579.0,,167825.0,255218.0,264023.0,184839.0
