Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
            Available-for-sale Securities,1599549.58,1580143.681,1481359.524,1452398.313,1361085.941,1206138.539,1194171.644,1238901.523,1289479.29,1268827.228,1417894.339,1691419.516,1823565.085,1753288.953,1739901.691,1833205.665,1792767.711,1765420.52,1794445.555,1693386.843,1634235.399,1521570.102,1407997.98,1364309.109,1359381.619,1323016.983,1358680.081,1403108.234,1410900.711,1420644.525,1420220.923,1460365.085,1483839.849,1469425.807,1410052.589,1409460.359,1425009.316,1427103.632,1409573.945,1411374.073,1416242.013,1401906.397,1372465.322,1358130.552,1357546.156,1379897.75,1393234.773,1440552.831,1467263.11,1457441.536,1441886.782,1484490.047,1408661.848,1408803.482,1402918.427,1422858.751,1404890.502,1433040.455,1327573.398,
                Bank of America Corp,346432,315719,291295,313072,266649,165610,132005,162410,220788,226340,266254,289287,299178,275357,278179,270614,234491,233692,190432,206221,245639,244872,235979,231612,229366,239048,262119,290360,304889,301433,301187,297739,296377,303029,290535,285238,307135,299025,298471,290124,286033,267993,252539,252412,238253,237464,243227,266295,291630.375,311269.132,305267.082,302138.553,287897.791,333442.889,351282.417,352369.659,360388.986,344804.35,319256.326,80142.015
                Citigroup Inc,222989,230095,244049,249149,250198,234933,231239,235329,245486,228387,233564,260087,283645,290309,297315,299280,330218,339161,337636,304150,275823,271519,269246,271460,284066,280867,285445,291358,290616,294977,293359,289982,299168,307533,312241,308243,299136,302117,295570,296736,300143,298678,292578,290937,286511,279877,277378,281749,288695,271261,279586,270583,265204,258361,277831,294638,274422,296527,270587,
                Citizens Financial Group Inc,32764.804,32834.57,31938.107,31186.589,29777.316,25068.662,24754.549,23844.717,24006.589,23477.709,24961.437,25318.882,26066.771,24910.557,24583.025,24466.614,22942.361,22884.385,22143.732,22307.135,20612.675,21502.073,21697.963,21503.913,19894.929,20152.172,20156.664,19957.912,20157.086,19982.162,19257.489,19964.079,19484.053,19408.247,18461.354,17946.612,17866.702,18179.499,18645.18,19023.801,18638.577,18649.474,18476.127,18395.395,15977.601,19871.34,16416.564,17054.381,18343.531,20256.067,21082.25,21695.456,22137.342,20891.615,21776.703,22552.112,20534.542,19260.207,25607.01,
                Capital One Financial Corp,83013.193,83500.428,79250.094,78397.607,79116.905,74837.17,78411.741,81925.274,76918.627,75302.821,83022.127,89076.012,95260.739,98148.701,101765.877,99165.067,100444.936,99852.72,87858.527,81423.326,79213.358,46217.607,45657.904,45888.267,46149.624,47384.35,50691.189,47152.797,37758.336,39811.587,41186.62,41322.82,40799.824,41567.011,39958.779,40090.521,39059.531,39430.761,39135.026,39319.163,39506.812,39663.669,41111.17,40718.781,41797.988,43130.842,62600.261,64117.466,64062.397,61575.954,55397.64,60881.072,38751.586,38537.265,39467.295,41559.789,41530.574,40074.543,39566.559,
                Comerica Inc,,,15656,16245,16869,16323,17415,18295,19012,19452,20829,18810,16986,16846,15837,15595,15028,15090,12759,13041,12398,12429,12338,12212,12044.833,11861.661,11914.86,11971.115,10937.888,10997.633,10943.887,10829.814,10786.535,10789.261,10711.936,10606.41,10519.112,8748.644,8267.425,8213.613,8115.784,9468.477,9534.269,9486.915,9306.824,9487.807,9630.896,10285.711,10296.533,10569.708,9939.708,10060.642,10103.412,9731.922,7536.524,7405.942,7559.959,6816.02,7187.948,
                East West Bancorp Inc,10846.811,10133.877,8923.528,8400.468,6188.337,6039.837,5987.258,6300.868,6034.993,5906.09,6255.504,6729.431,9965.353,9713.006,8399.46,7789.213,5544.658,4539.16,3884.574,3695.943,3317.214,3284.034,2592.913,2640.158,2741.847,2676.51,2707.444,2811.416,3016.752,2956.776,2822.725,2962.034,3335.795,3236.624,3240.332,3205.238,3773.226,2952.277,2982.146,2841.085,2618.851,2585.145,2528.71,2473.757,2734.4,2894.376,2670.099,2602.052,2610.556,2291.52,1955.065,2716.285,3073.201,3282.781,3209.41,3123.375,2890.949,2908.127,2127.559,7346.287
                Fifth Third Bancorp,38768,39619,38193,37990,49698,47115,48493,49829,50629.088,50414.912,52031.298,48313.976,37591.434,37352.347,37492.207,37073.944,36988.782,36894.471,38051.437,38029.613,35472.842,36603.812,35207.072,34467.135,32278.118,31257.54,31347.248,31206.024,31208.964,30868.948,31212.607,30922.12,30575.792,30082.443,30848.845,29285.55,28439.659,28195.367,27385.704,25808.4,21807.301,22311.742,22215.5,20150.698,17845.747,17233.512,15341.741,14417.929,14362.356,14558.31,14708.494,15250.107,14519.375,15384.949,14660.333,14266.92,14546.322,15081.193,15127.202,
                First Citizens BancShares Inc/,33751,28190,27053,24915,19935.712,16660.906,11894.233,9061.402,8995.104,9087.604,9209.598,9295.24,9203.427,7371.129,7381.083,7307.122,7014.243,9019.788,8619.282,7789.034,7059.674,4904.883,4366.041,4589.8,4557.11,4677.351,4783.507,6857.74,7180.18,6992.877,6596.45,7119.861,7006.58,6459.815,6632.58,6762.289,6936.293,6765.578,7425.194,7120.109,7246.917,5698.094,5538.166,5676.237,5387.703,5161.585,5184.975,5279.678,5226.228,5012.848,4634.248,4457.739,4056.423,3994.825,4014.241,4202.016,4510.077,3786.648,3768.731,
                Flagstar Financial Inc,10401.846,10510.848,10534.596,9336.479,9144.856,8722.635,7778.561,7599.045,9059.739,6689.156,5663.627,5612.026,5779.97,5898.213,6077.318,6177.905,5813.333,5233.744,5168.182,5455.246,5853.057,5854.568,5738.146,5724.644,5613.52,4764.283,4122.883,3391.952,3531.427,3031.026,3171.117,50.224,104.281,161.145,154.27,152.249,204.255,162.327,165.142,175.712,173.784,243.032,245.047,245.321,280.738,305.704,315.091,324.361,429.266,378.514,411.503,572.738,724.662,499.065,162.273,490.778,652.956,728.166,931.935,
