Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Balance Sheet - Assets - Investments in Real Estate Ventures,51059.893,48720.029,47939.263,45077.364,45920.218,43353.507,43410.347,40799.153,40666.232,38724.061,37987.69,36423.46,35632.097,33002.276,32259.124,30763.976,30947.847,28868.431,28542.569,27978.218,27876.769,26273.811,25429.909,24524.448,23502.986,22569.489,22114.716,21700.761,21385.896,21882.916,21780.267,21694.271,21817.346,20110.342,19752.318,19541.683,19693.377,18593.588,18515.771,18171.918,18320.864,17567.387,17431.247,16750.733,16728.907,16422.702,10833.123,10804.23,10821.723,10940.425,10989.222,11138.161,11495.938,11563.377,11726.794,11721.286,12092.25,11850.544,12009.462,
            Bank of America Corp,17848,17148,17082,16647,16677,15622,15790,15415,15343,14475,14529,13902,13563,12738,12682,12134,12163,11407,11071,10702,10690,9877,9608,9365,8372,8078,7992,7517,7471,7263,7129,6966,7020,6456,6582,6682,6775,6149,6313,6351,6531,6125,6035,6358,6382,6381,6348,6321,6143.586,6187.097,6168.668,6280.77,6499.353,6380.843,6435.382,6545.825,6847.654,6649.426,6736.351,
            Citizens Financial Group Inc,2765.366,2616.047,2660.542,2584.536,2554.853,2505.988,2504.214,2324.255,2314.744,2232.927,2260.786,2214.559,2063.879,1985.481,2009.902,1849.973,1755.308,1592.729,1521.189,1492.572,1456.253,1378.856,1358.016,1319.339,1293.78,1260.467,1108.207,1046.18,1006.368,964.597,914.457,843.809,842.112,737.96,698.028,679.699,635.742,555.132,530.256,506.875,431.637,359.812,309.199,296.447,251.297,164.441,104.41,86.3,88.558,99.331,101.835,99.193,101.64,113.645,115.078,116.798,118.559,125.884,130.247,
            East West Bancorp Inc,547.359,531.982,529.267,489.022,478.506,472.443,485.371,456.315,472.021,475.298,398.843,375.335,383.841,397.776,388.24,383.266,286.565,257.999,274.825,276.559,274.739,243.933,260.197,267.555,262.154,232.358,239.122,245.557,253.055,261.138,240.017,249.879,254.759,237.287,251.93,253.772,262.348,213.648,216.488,204.616,180.335,181.648,184.053,191.553,167.027,170.924,175.95,181.424,185.181,178.096,180.871,159.691,143.461,171.479,176.52,57.863,37.712,38.733,84.521,0
            Fifth Third Bancorp,1975,1932,1927,1789,1799,1747,1739,1730,1693.486,1625.599,1595.676,1547.973,1582.081,1536.142,1539.12,1150.753,1139.279,1078.158,1049.219,1073.245,1172.384,1054.451,927.692,833.226,844.522,892.72,894.005,1016.759,1314.904,1367.28,1398.058,1325.561,1324.721,1297.805,1291.013,1284.042,1319.456,1308.826,1291.228,1254.617,1270.829,1240.803,1230.565,1211.784,1201.097,1173.622,1148.685,1093.548,1118.71,1057.689,988.505,922.128,925.856,964.9,962.019,946.872,953.36,852.267,841.692,
            Huntington Bancshares Inc/OH,2434.282,2329.224,2477.062,2409.967,2358.407,2287.584,2243.451,2198.755,2157.08,1965.461,1787.143,1739.562,1722.32,1504.909,1355.263,987.314,999.505,917.14,912.326,858.739,791.886,789.924,810.625,762.456,786.268,774.28,708.189,710.38,711.841,715.69,692.984,633.921,651.976,652.741,538.433,500.193,515.913,465.007,450.341,412.305,421.509,393.706,378.102,355.149,379.72,357.536,339.754,322.867,386.623,391.563,378.211,400.061,399.776,369.685,350.538,337.081,340.048,293.041,255.746,
            JPMorgan Chase & Co,18465,17877,17024,17000,17707,16685,16463,14584,14583,14039,13660,13438,13220,12001,11416,11435,11844,10882,11074,10891,10607,10283,9860,9145,9067,8780,8682,8844,8344,8881,9038,9401,9508,8958,8819,8490,8510,8270,8096,7870,8056,7848,7881,6836,6815,6680,1198,1277,1356,1443,1526,1608,1686,1778,1861,1943,2022,2084,2168,
            KeyCorp,2566.342,2216.719,2186.608,2188.146,2341.818,2118.326,2195.473,2080.684,1879.972,1799.747,1634.105,1596.849,1591.423,1473.061,1483.528,1418.582,1441.89,1425.342,1381.926,1458.105,1508.453,1461.533,1466.793,1465.47,1482.113,1332.074,1338.614,1342.081,1334.653,1298.63,1296.002,1274.756,1288.931,1277.397,1080.936,1144.818,1185.797,1139.22,1119.212,1057.887,1075.903,1042.918,1011.6,986.631,996.545,945.616,949.46,957.731,959.633,930.84,943.976,951.893,966.659,943.953,964.546,922.476,922.644,953.258,957.427,
            M&T Bank Corp,1421.039,1403.026,1371.29,1363.443,1380.945,1313.194,1356.941,1352.022,1512.498,1382.037,1402.5,857.83,887.482,812.636,824.747,842.479,850.91,781.054,734.54,724.365,747.98,603.549,573.374,517.311,522.767,457.391,463.443,406.893,405.052,319.633,322.149,305.877,294.445,268.463,260.486,271.496,276.21,282.719,276.143,302.533,233.82,246.808,225.359,236.796,222.336,234.219,245.951,238.029,247.768,241.76,247.085,242.252,250.02,214.699,223.255,230.915,239.138,226.8,218.343,
            Truist Financial Corp,82,58,59,57,49,48,46,44,14,13,14,12,9,6,8,4,5,5,5,5,5,7,7,7,7,8,7,8,8,8,8,8.02,6.024,5.541,5.831,6.112,6.196,6.256,6.25,3.88,3.831,2.692,3.234,3.238,4.083,2.209,2.111,2.196,2.529,1.914,1.936,2.038,2.038,2.038,2.321,2.321,0,0,0,
