Balance Sheet - Assets - Securities,3112187.059,3246324.368,3190179.154,3194739.464,3146521.312,3032681.329,3066093.985,3137649.923,3231496.813,3209716.526,3352786.346,3424033.282,3427075.275,3273918.481,3200229.148,3046941.717,2771134.92,2549648.731,2416273.911,2300869.108,2176702.133,2128858.572,2004431.027,1958442.884,1956848.501,1899709.066,1903562.772,1888906.08,1923350.078,1928129.718,1915609.159,1918924.078,1930040.895,1902925.261,1828865.072,1800237.057,1805765.949,1785497.078,1762420.319,1741122.535,1732236.787,1701352.742,1655986.289,1610004.345,1574893.649,1550187.691,1533091.134,1569949.224,1597003.092,1578840.051,1556905.896,1584585.854,1508725.83,1493107.228,1457464.84,1467799.351,1448762.812,1477415.897,1373419.804,88236.451
            Held-to-maturity Securities,1512637.479,1566444.534,1708612.811,1742169.193,1784956.913,1826313.274,1871819.78,1898372.899,1941623.101,1940889.573,1934892.351,1732614.096,1603510.522,1520629.804,1460327.713,1213736.332,978367.209,784228.211,621828.356,607482.265,542466.734,607288.47,596433.047,594133.775,597466.882,576692.083,544882.691,485797.846,512449.367,507485.193,495388.236,458558.993,446201.046,433499.454,418812.483,390776.698,380756.633,358393.446,352846.374,329748.462,315994.774,299446.345,283520.967,251873.793,217347.493,170289.941,139856.361,129396.393,129739.982,121398.515,115019.114,100095.807,100063.982,84303.746,54546.413,44940.6,43872.31,44375.442,45846.406,8094.436
                Bank of America Corp,558713,567589,577402,586899,594591,603365,614149,624528,632863,643743,658284,672218,674591,683274,651434,576031,438279,338419,268967,254764,215730,190252,199981,198718,203652,194472,163013,123539,125013,122345,119008,116033,117071,112409,102279,97978,84625,66573,60072,59815,59766,60175,60022,55120,55150,54649,54922,49577,49480.678,39897.926,35167.513,34205.133,35265.406,26458.178,180.695,431.041,426.936,437.851,435.185,
                Citigroup Inc,242519,248416,251225,252564,254342,259551,262165,264446,268983,267979,267697,242632,217050,198129,176825,161820,105029,96163,83439,82391,80775,75841,68693,66842,63357,53249,52897,52492,53320,51527,50175,47942,45667,38588,35903,36890,36215,33940,30166,23254,23921,24038,22330,10600,10599,10808,9602,10056,10130,10943,11349,10126,11483,12866,14910,15484,29107,30107,31283,
                Citizens Financial Group Inc,8598.508,8737.604,8894.759,9054.064,9184.312,9319.51,9520.026,9676.882,9834.49,10070.533,9567.277,2055.547,2242.301,2491.916,2710.997,2994.711,3234.551,2577.533,2855.502,3071.431,3201.718,3319.196,3446.67,3345.471,4164.944,4283.953,4416.949,4555.42,4684.991,4822.979,4966.839,4991.628,5070.869,5288.84,4972.838,5128.993,5257.926,5284.806,5567.363,5177.618,5148.12,5289.034,5381.531,5456.811,4315.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Fifth Third Bancorp,11277,11356,11441,11519,0,0,0,0,3.411,3.593,3.789,3.88,6.278,6.473,8.749,8.738,9.038,13.24,14.213,14.993,15.25,15.437,15.569,15.743,15.94,16.123,17.421,21.645,21.969,23.694,24.012,24.176,24.49,54.78,60.129,62.292,68.105,155.257,155.73,175.609,185.548,189.556,192.686,193.731,206.625,263.551,272.93,281.758,282.459,285.106,303.064,319.202,320.07,334.745,340.148,340.721,347.433,348.851,348.599,
                First Citizens BancShares Inc/,10237,10390,10534,10048,9976.937,10079.885,10198.782,10379.163,10276.849,9658.312,9829.222,10069.648,3807.445,3379.069,3392.597,2806.092,2814.726,745.476,771.872,720.441,0,2115.141,2182.5,2214.829,2184.653,2253.416,2299.774,0.074,0.076,0.078,0.08,0.083,0.098,0.125,0.156,0.194,0.255,0.301,0.351,0.441,0.518,0.607,0.693,0.782,0.907,1.013,1.131,1.229,1.342,1.459,1.578,1.688,1.822,1.943,2.098,2.341,2.532,2.645,3.084,
                Huntington Bancshares Inc/OH,16368.063,15670.222,15036.319,15416.141,15749.844,16147.807,16578.155,16977.431,17051.512,17173.245,17355.256,17189.989,12446.604,12454.612,11415,7814.899,8861.089,8556.917,9415.703,10192.565,9069.6,8429.541,8704.391,8747.24,8564.641,8465.283,8681.667,8788.761,9090.95,8688.399,8279.577,7533.517,7806.939,5301.387,5658.565,5946.144,6159.59,3157.688,3304.16,3336.663,3379.905,3496.493,3621.995,3734.723,3836.667,2236.121,2172.229,1693.074,1743.876,1582.15,598.385,621.798,640.551,658.25,670.478,0,0,0,0,
                JPMorgan Chase & Co,274571,300077,323871,334647,369942,388348,409015,412888,425372,430157,441696,366624,363746,343612,341560,217546,201899,141673,72931,71219,47540,40830,30907,30849,31434,31368,31006,29042,47733,47079,47761,48913,50168,52011,53811,47932,49073,50169,51594,49264,49252,48826,47849,47271,24026,4516,6,7,7,9,10,11,12,13,15,16,18,19,21,
                KeyCorp,7395.09,7702.275,7967.558,8271.622,8575.251,8853.443,9188.58,9560.784,8709.915,8163.455,8185.857,6871.116,7539.422,8423.009,6174.705,6857.378,7595.349,8384.281,9075.466,9638.206,10067.222,10489.899,10878.139,11234.193,11519.187,11869.79,12277.551,12190.031,11831.529,10276.668,10638.865,10187.23,10232.642,8995.707,4832.619,5004.398,4898.059,4936.937,5022.953,5005.788,5015.868,4998.181,5233.064,4825.885,4755.819,4835.199,4749.925,3721.156,3930.673,4152.843,4352.269,3018.735,2109.238,1176.082,18.996,18.996,17.075,18.386,18.816,
