Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
            Securities By Company,3112187.059,3246324.368,3190179.154,3194739.464,3146521.312,3032681.329,3066093.985,3137649.923,3231496.813,3209716.526,3352786.346,3424033.282,3427075.275,3273918.481,3200229.148,3046941.717,2771134.92,2549648.731,2416273.911,2300869.108,2176702.133,2128858.572,2004431.027,1958442.884,1956848.501,1899709.066,1903562.772,1888906.08,1923350.078,1928129.718,1915609.159,1918924.078,1930040.895,1902925.261,1828865.072,1800237.057,1805765.949,1785497.078,1762420.319,1741122.535,1732236.787,1701352.742,1655986.289,1610004.345,1574893.649,1550187.691,1533091.134,1569949.224,1597003.092,1578840.051,1556905.896,1584585.854,1508725.83,1493107.228,1457464.84,1467799.351,1448762.812,1477415.897,1373419.804,
                Bank of America Corp,905145,883308,868697,899971,861240,768975,746154,786938,853651,870083,924538,961505,973769,958631,929613,846645,672770,572111,459399,460985,461369,435124,435960,430330,433018,433520,425132,413899,429902,423778,420195,413772,413448,415438,392814,383216,391760,365598,358543,349939,345799,328168,312561,307532,293403,292113,298149,315872,341111.053,351167.058,340434.595,336343.686,323163.197,359901.067,351463.112,352800.7,360815.922,345242.201,319691.511,88236.451
                Citigroup Inc,465508,478511,495274,501713,504540,494484,493404,499775,514469,496366,501261,502719,500695,488438,474140,461100,435247,435324,421075,386541,356598,347360,337939,338302,347423,334116,338342,343850,343936,346504,343534,337924,344835,346121,348144,345133,335351,336057,325736,319990,324064,322716,314908,301537,297110,290685,286980,291805,298825,282204,290935,280709,276687,271227,292741,310122,303529,326634,301870,
                Citizens Financial Group Inc,41363.312,41572.174,40832.866,40240.653,38961.628,34388.172,34274.575,33521.599,33841.079,33548.242,34528.714,27374.429,28309.072,27402.473,27294.022,27461.325,26176.912,25461.918,24999.234,25378.566,23814.393,24821.269,25144.633,24849.384,24059.873,24436.125,24573.613,24513.332,24842.077,24805.141,24224.328,24955.707,24554.922,24697.087,23434.192,23075.605,23124.628,23464.305,24212.543,24201.419,23786.697,23938.508,23857.658,23852.206,20293.008,19871.34,16416.564,17054.381,18343.531,20256.067,21082.25,21695.456,22137.342,20891.615,21776.703,22552.112,20534.542,19260.207,25607.01,
                Capital One Financial Corp,83013.193,83500.428,79250.094,78397.607,79116.905,74837.17,78411.741,81925.274,76918.627,75302.821,83022.127,89076.012,95260.739,98148.701,101765.877,99165.067,100444.936,99852.72,87858.527,81423.326,79213.358,80111.137,81133.241,82391.316,82920.531,82015.798,84155.272,70227.331,66742.24,68461.245,68907.047,67493.003,66512.265,66586.088,65079.208,65170.181,63678.411,63141.971,62802.674,62559.735,62006.911,61845.755,61799.272,60868.821,60929.675,61406.349,62600.261,64119.397,64071.09,61590.954,55397.64,60881.072,38751.586,38537.265,39467.295,41559.789,41530.574,40074.543,39566.559,
                Comerica Inc,,15886,15656,16245,16869,16323,17415,18295,19012,19452,20829,18810,16986,16846,15837,15595,15028,15090,12759,13041,12398,12429,12338,12212,12044.962,11861.776,11914.958,11971.209,12203.981,12342.07,12374.274,12338.157,12369.017,12483.831,12518.656,12513.814,12499.89,10611.803,10219.34,10084.809,10051.098,9468.477,9534.269,9486.915,9306.824,9487.807,9630.896,10285.711,10296.533,10569.708,9939.708,10060.642,10103.412,9731.922,7536.524,7405.942,7559.959,6816.02,7187.948,
                East West Bancorp Inc,13764.224,13062.276,11861.778,11349.11,9144.377,9004.072,8963.191,9294.289,9036.861,8918.757,9283.806,9727.133,9965.353,9713.006,8399.46,7789.213,5544.658,4539.16,3884.574,3695.943,3317.214,3284.034,2592.913,2640.158,2741.847,2676.51,2707.444,2811.416,3016.752,2956.776,2943.856,3094.531,3479.766,3391.085,3399.54,3365.373,3773.226,2952.277,2982.146,2841.085,2618.851,2585.145,2528.71,2473.757,2734.4,2894.376,2670.099,2602.052,2610.556,2291.52,1955.065,2716.285,3073.201,3282.781,3209.41,3123.375,2890.949,2908.127,2127.559,7346.287
                Fifth Third Bancorp,50045,50975,49634,49509,49698,47115,48493,49829,50632.499,50418.505,52035.087,48317.856,37597.712,37358.82,37500.956,37082.682,36997.82,36907.711,38065.65,38044.606,35488.092,36619.249,35222.641,34482.878,32294.058,31273.663,31364.669,31227.669,31230.933,30892.642,31236.619,30946.296,30600.282,30137.223,30908.974,29347.842,28507.764,28350.624,27541.434,25984.009,21992.849,22501.298,22408.186,20344.429,18052.372,17497.063,15614.671,14699.687,14644.815,14843.416,15011.558,15569.309,14839.445,15719.694,15000.481,14607.641,14893.755,15430.044,15475.801,
                First Citizens BancShares Inc/,43988,38580,37587,34963,29912.649,26740.791,22093.015,19440.565,19271.953,18745.916,19038.82,19364.888,13010.872,10750.198,10773.68,10113.214,9828.969,9765.264,9391.154,8509.475,7059.674,7020.024,6548.541,6804.629,6741.763,6930.767,7083.281,6857.814,7180.256,6992.955,6596.53,7119.944,7006.678,6459.94,6632.736,6762.483,6936.548,6765.879,7425.545,7120.55,7247.435,5698.701,5538.859,5677.019,5388.61,5162.598,5186.106,5280.907,5227.57,5014.307,4635.826,4459.427,4058.245,3996.768,4016.339,4204.357,4512.609,3789.293,3771.815,
                Flagstar Financial Inc,10401.846,10510.848,10534.596,9336.479,9144.856,8722.635,7778.561,7599.045,9059.739,6689.156,5663.627,5612.026,5779.97,5898.213,6077.318,6177.905,5813.333,5233.744,5168.182,5455.246,5853.057,5854.568,5738.146,5724.644,5613.52,4764.283,4122.883,3391.952,3531.427,3031.026,3171.117,3692.328,3817.057,3813.07,3976.831,4220.999,6173.645,6759.611,6823.504,6960.593,7096.45,7511.276,7792.958,7952.413,7951.02,7083.42,5941.696,5464.188,4913.528,5144.208,4265.09,4877.809,4540.516,5147.617,5668.918,4794.997,4788.891,4725.959,4697.249,
