Description,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
Balance Sheet - Assets - Total Assets By Company,14582067.45,15192931.46,15823232.17,15854787.42,15455937.98,15382900.51,15374071.74,15402753.23,14927453.55,14891745.51,14972081.43,15182198.18,14758451.06,14713193.79,14498325.16,14287758.23,13628769.02,13293697.3,13314311.52,12992795.97,11843951.78,11740994.09,11593714.78,11483879.95,11262844.92,11189120.52,11103211.76,11193201.5,11033276.49,11077060.54,11008212.08,10941739.22,10777128.69,10858546.18,10642151.63,10497937.7,10237997.62,10294688.57,10279916.69,10399092.23,10288810.9,10200996.02,10206265.55,10029769.72,9868264.653,9881296.591,9777996.774,9779709.63,9775558.07,9686875.137,9582520.988,9637817.777,9330152.047,9468966.716,9408163.841,9324763.313,9214546.872,9333893.087,9192421.217,
            Bank of America Corp,3261789,3324293,3257996,3273803,3180151,3153090,3123198,3194657,3051215,3072953,3111606,3238223,3169495,3085446,3029894,2969992,2819627,2738452,2741688,2619954,2434079,2426330,2396484,2377362,2354980,2338913,2291858,2328754,2281477,2285062,2256095,2249046,2189266,2198884,2189811,2188633,2147391,2154342,2152082,2145027,2106796,2126138,2172001,2152533,2104995,2128706,2125686,2176625,2212004.452,2168023.105,2162083.396,2180055.682,2136577.907,2221386.576,2264435.837,2276418.25,2268347.377,2341160.426,2370594.235,
            Citigroup Inc,2352945,2430663,2405686,2432510,2411834,2368477,2423675,2455113,2416676,2381064,2380904,2394105,2291413,2361876,2327868,2314266,2260090,2234459,2232799,2220114,1951158,2014802,1988226,1958413,1917383,1925165,1912334,1922104,1842465,1889133,1864063,1821635,1792077,1818117,1818771,1800967,1731210,1808356,1829370,1831801,1842530,1882849,1909715,1894736,1880382,1899511,1883988,1881734,1864660,1931346,1916451,1944423,1873878,1935992,1956626,1947815,1913902,1983280,1937656,
            Citizens Financial Group Inc,217935.962,220309.167,220373.586,220862.002,222411.872,225635.456,223468.136,222655.782,227087.186,225138.533,227186.681,192471.585,188708.502,187548.624,185540.963,187601.9,183728.54,179583.426,180245.568,176981.456,166089.89,164974.535,163345.723,161724.204,161004.687,158989.03,155838.315,153850.954,152709.681,151763.761,151993.22,150690.016,150022.885,147442.174,145568.297,140409.385,138574.068,135811.131,137564.322,136905.651,133000.128,131520.691,130579.63,127295.624,122257.732,120738.247,118137.679,126322.821,127911.732,132014.924,129313.757,129963.64,129810.542,130660.891,131799.704,131971.261,129969.527,136117.759,140019.495,
            Capital One Financial Corp,490144.032,486432.796,480017.822,481719.684,478464.223,471434.737,467799.623,471660.065,455249.08,444232.099,440287.667,434195.249,432381.054,425377.455,423420.289,425175.122,421602.066,421882.809,421296.047,396878.031,390364.866,378810.387,373618.924,373191.353,372537.597,362909.356,363989.302,362857.358,365692.669,361401.885,350592.894,348549.339,357158.294,345187.277,339247.718,330489.235,334179.916,313827.584,310636.497,306501.324,309083.481,300444.02,298653.928,290886.18,297282.098,290217.687,296670.314,300293.699,313040.688,302114.103,296698.168,294573.731,206103.658,200148.496,199753.113,199300.238,197503.411,196932.749,197488.678,522690.563
            Comerica Inc,,,79792,79660,86046,85909,90994,91327,85648,84344,87179,89318,95001,94722,88515,86475,88320,83791,84603,76457,73519,73081,72592,70796,70906.003,71590.232,72204.036,72417.712,71691.612,72268.506,71630.277,73169.721,73129.915,74396.636,71440.155,69131.436,71983.051,71212.885,70053.205,69420.233,69452.409,68949.21,65386.081,65832.917,65356.58,64723.31,63013.097,64975.279,65398.175,63449.196,62756.597,62682.289,61139.192,60991.256,54244.445,55237.678,54001.083,55154.553,55997.505,
            East West Bancorp Inc,,,72468.272,70875.67,69612.884,68289.458,68532.681,67244.898,64112.15,62576.061,62394.283,62241.456,60870.701,60959.11,59854.876,56874.146,52156.913,50371.477,49407.593,45948.545,44196.096,43274.659,42892.358,42091.433,41042.356,39073.106,38072.954,37693.158,37150.249,36328.931,35926.782,35348.696,34796.854,33269.938,32952.138,33109.185,32351.172,31119.855,30064.322,29907.424,28738.323,28481.156,27556.917,27401.438,24730.609,24493.454,23314.135,23102.005,22536.282,21813.361,21525.82,21749.819,21968.902,21813.203,21872.774,21147.081,20700.642,20417.394,19967.321,
            Fifth Third Bancorp,212927,214318,213262,214506,214574,212967,207276,208657,207452.357,205463.245,206782.168,211458.822,211115.886,207730.841,205389.958,206899.448,204679.933,201995.877,202905.624,185391.07,169369.169,171078.869,168802.058,167853.328,146069.355,141684.879,140695.256,141500.435,142193.41,142264.097,141066.725,140199.626,142176.83,143278.886,143625.325,142430.207,141082.059,141917.763,141658.13,140469.916,138705.64,134187.722,132562.382,129654.487,130442.754,125672.964,123360.351,121381.537,121893.748,117482.869,117542.579,116747.098,116966.697,114904.741,110804.76,110484.945,111006.778,112322.078,112025.234,
            First Citizens BancShares Inc/,223720,220567,219832,217855,213766.628,213766.3,209515.076,214710.674,109298.424,109310.039,107672.569,108596.694,58308.14,56901.977,55175.318,53908.606,49957.68,48666.873,47866.194,41594.453,39824.496,37748.324,37655.094,35961.67,35408.629,34954.659,35088.566,34436.437,34527.512,34584.154,34769.85,34018.405,32990.836,32971.91,32230.403,32195.657,31475.934,31449.824,30896.855,30853.649,30075.113,21942.491,22062.84,22154.997,21199.091,21511.352,21308.822,21351.012,21283.651,21173.619,21240.99,21143.628,20881.494,21015.345,21021.65,21167.495,20806.659,21049.291,21105.769,
            Flagstar Financial Inc,,114366.51,119055.231,112899.652,114056.674,111229.935,118796.426,123706.375,90144.302,62956.248,63093.283,61005.398,59527.144,57890.106,57468.934,57656.892,56306.12,54931.755,54210.416,54261.093,53640.821,52537.629,52776.254,52131.045,51899.376,51246.654,50469.17,49654.874,49124.195,48457.891,48347.658,48824.564,48926.555,49462.62,49035.747,48515.572,50317.796,49045.482,48648.532,48251.715,48559.217,48679.772,48604.772,47567.47,46688.287,45764.133,44185.838,44511.718,44149.466,44075.366,43501.094,43042.45,42026.245,41940.253,40612.271,41047.855,41160.281,41719.227,42026.691,57225.094
