Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
C&I loans,,,,Expression,1319202.962,1552466.875,1565602.754,1360535.154,1352373.561,1347599.638,1288551.925,1204755.654,1147677.955,1066677.259,1001362.525,972730.195,934719.351,835969.061,713996.145,744072.024,932563.523,814802.1,626892.702,547286.576,472336.03,374664.433,404380.202,448792.293,,,,,,,,,
    US,,,,Sum,1082046.212,1287023.205,1286590.875,1092523.6360000002,1101070.7119999998,1081399.821,1034464.9989999998,955438.1639999999,918799.3750000001,846127.1209999999,782065.79,744460.9899999999,712698.045,637408.9120000001,561484.629,589627.8060000001,737411.864,603348.927,462835.08199999994,417109.9820000001,354610.3990000001,278077.6390000001,297261.786,328963.108,,,,,,,,,
        Bank of America Corp,BAC US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,259807.0,246357.0,251353.0,226334.0,227080.0,222079.0,212365.0,204807.0,192902.0,175679.0,158461.0,163750.0,150764.86,131761.607,122807.376,131723.85,158991.449,151697.174,105414.92,93077.102,77996.86,60868.848,71701.0,88263.0,,,,,,,,,
        Citigroup Inc,C US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,57909.0,60846.0,54453.0,49374.0,58000.0,57443.0,58254.0,54594.0,49443.0,47278.0,41542.0,38658.0,32778.0,29197.0,25662.0,32371.0,45317.0,66445.0,46448.0,40425.0,31987.0,29346.0,35980.0,40230.0,,,,,,,,,
        Citizens Financial Group Inc,CFG US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,24760.657,36720.19,44042.211,39862.753,38862.6,35583.331,34946.69,31192.701,30775.692,26887.003,24814.532,22642.248,21471.281,18801.773,15511.886,15103.662,19407.844,20420.477,16186.24,11974.531,10496.62,8740.081,8229.595,8657.626,,,,,,,,,
        Capital One Financial Corp,COF US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,44382.421,45606.461,46765.929,39631.217,34550.311,36833.806,33425.295,28971.729,29320.767,26806.574,22170.228,19171.498,17976.174,17269.212,16030.956,12551.273,15633.806,16430.424,11447.719,5636.411,2692.827,,,,,,,,,,,,
        Comerica Inc,CMA US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,,23695.0,24471.0,21785.0,24402.0,24893.0,25984.683,25904.143,25315.249,26003.334,27096.754,25171.499,24717.941,22244.768,20174.775,19454.466,22954.455,23241.85,21783.366,19205.513,19992.382,20261.709,21938.214,22098.385,,,,,,,,,
        East West Bancorp Inc,EWBC US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,,8127.651,8008.256,7764.509,8717.025,8337.788,8170.837,7611.083,6710.85,6467.477,6431.953,5128.552,4438.837,3326.758,2597.938,2103.228,1490.895,1751.794,1232.197,869.104,588.386,424.465,328.209,355.087,,,,,,,,,
        Fifth Third Bancorp,FITB US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,41172.0,41876.0,46011.267,40762.673,42222.948,42969.771,36195.118,34053.672,34275.153,34329.865,32622.453,32129.559,30177.59,24878.083,21742.472,21562.482,24547.675,21432.001,16020.589,20776.423,16644.636,13324.904,11277.381,9294.002,,,,,,,,,
        First Citizens BancShares Inc/,FCNCA US Equity,FR011,FED_C&I_LOANS_US_ADDRESS,Dynamic,35564.0,36102.396,19378.619,4960.965,6164.892,3461.899,2867.481,2303.05,2168.393,1973.093,1650.832,966.491,1701.542,1758.124,1800.225,1730.212,1695.974,1490.496,1275.755,1047.295,900.583,862.37,857.265,854.326,,,,,,,,,
