Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
    Foreign,,,,Sum,247192.347,265444.172,279042.48300000007,268046.349,251302.849,266199.817,254086.92599999998,249317.49,228878.58000000007,220550.13799999995,219296.735,228269.20500000002,222021.30599999998,198560.14900000003,152511.51599999997,154444.218,195151.65899999999,211453.173,164057.62,130176.59400000001,117725.631,96586.794,107118.41600000001,119829.185,99438.82,83952.005,82875.20100000002,27584.013999999996,24543.414999999997,11875.681999999999,9134.043000000001,8281.315,9609.209999999997
        Bank of America Corp,BAC US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,72613.0,72553.0,78031.0,71816.0,64041.0,75373.0,67320.0,66557.0,59810.0,59116.0,57082.0,68259.0,60037.034,53195.613,34961.697,33865.371,29854.469,25181.439,19760.146,19219.291,16700.334,9715.761,13208.0,15664.0,,,,,,,,,
        Citigroup Inc,C US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,100958.0,101791.0,103166.0,109790.0,109657.0,119593.0,120072.0,120154.0,105562.0,109821.0,110277.0,111845.0,107545.0,100282.0,86208.0,84501.0,105861.0,137916.0,112208.0,87534.0,83245.0,66918.0,71111.0,75247.0,67923.0,59610.0,55964.0,,,,,,
        Citizens Financial Group Inc,CFG US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,1088.059,2535.894,2903.672,1365.179,1004.043,949.941,1024.312,813.42,999.238,366.405,440.955,460.839,269.225,124.003,78.718,46.523,49.673,19.847,54.133,36.714,26.743,2.011,1.73,22.798,,,,,,,,,
        Capital One Financial Corp,COF US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,658.305,634.846,821.407,897.331,609.96,514.952,406.596,121.071,144.01,7.044,0.109,6.245,71.996,88.227,0.042,0.01,0.136,0.151,0.147,1.1,0.0,,,,,,,,,,,,
        Comerica Inc,CMA US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,,1074.0,1148.0,1150.0,888.0,989.0,1055.09,1054.462,1323.419,1439.993,1564.612,1469.055,1362.824,1155.758,1077.02,1104.67,1496.748,1542.933,1699.771,1813.446,2103.674,2138.173,2406.258,2454.697,2139.895,2085.214,1993.021,1350.693,996.042,665.662,436.617,187.306,193.469
        East West Bancorp Inc,EWBC US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,,2108.993,1887.42,1991.732,1675.812,1409.01,1325.573,1093.531,1132.706,1004.232,644.84,415.046,314.767,543.317,282.097,478.467,63.698,53.827,0.0,0.0,0.0,0.0,2.149,0.615,0.0,0.0,0.0,,,,,,
        Fifth Third Bancorp,FITB US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,2499.0,2986.0,2982.852,2740.652,2829.604,2747.352,2036.745,2035.919,1632.386,1728.03,1849.968,1213.707,760.498,714.696,631.798,488.77,562.082,320.418,168.427,56.854,8.161,13.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        First Citizens BancShares Inc/,FCNCA US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,1963.0,1698.454,291.341,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
        Flagstar Financial Inc,FLG US Equity,FC313,FDIC_C&I_LOANS_NON-US,Dynamic,,0.0,1.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
