Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
    C&I Loans by Company,,,,Sum,1319202.962,1552466.875,1565602.754,1360535.154,1352373.561,1347599.638,1288551.925,1204755.654,1147677.955,1066677.259,1001362.525,972730.195,934719.351,835969.061,713996.145,744072.024,932563.523,814802.1,626892.702,547286.576,472336.03,374664.433,404380.202,448792.293,,,,,,,,,
        Bank of America Corp,BAC US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,332420,318910,329384,298150,291121,297452,279685,271364,252712,234795,215543,232009,210801.894,184957.22,157769.073,165589.221,188845.918,176878.613,125175.066,112296.393,94697.194,70584.609,84909,103927,,,,,,,,,
        Citigroup Inc,C US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,158867,162637,157619,159164,167657,177036,178326,174748,155005,157099,151819,150503,140323,129479,111870,116872,151178,204361,158656,127959,115232,96264,107091,115477,,,,,,,,,
        Citizens Financial Group Inc,CFG US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,25848.716,39256.084,46945.883,41227.932,39866.643,36533.272,35971.002,32006.121,31774.93,27253.408,25255.487,23103.087,21740.506,18925.776,15590.604,15150.185,19457.517,20440.324,16240.373,12011.245,10523.363,8742.092,8231.325,8680.424,,,,,,,,,
        Capital One Financial Corp,COF US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,45040.726,46241.307,47587.336,40528.548,35160.271,37348.758,33831.891,29092.8,29464.777,26813.618,22170.337,19177.743,18048.17,17357.439,16030.998,12551.283,15633.942,16430.575,11447.866,5637.511,2692.827,,,,,,,,,,,,
        Comerica Inc,CMA US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,,24769,25619,22935,25290,25882,27039.773,26958.605,26638.668,27443.327,28661.366,26640.554,26080.765,23400.526,21251.795,20559.136,24451.203,24784.783,23483.137,21018.959,22096.056,22399.882,24344.472,24553.082,,,,,,,,,
        East West Bancorp Inc,EWBC US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,,10236.644,9895.676,9756.241,10392.837,9746.798,9496.41,8704.614,7843.556,7471.709,7076.793,5543.598,4753.604,3870.075,2880.035,2581.695,1554.593,1805.621,1232.197,869.104,588.386,424.465,330.358,355.702,,,,,,,,,
        Fifth Third Bancorp,FITB US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,43671,44862,48994.119,43503.325,45052.552,45717.123,38231.863,36089.591,35907.539,36057.895,34472.421,33343.266,30938.088,25592.779,22374.27,22051.252,25109.757,21752.419,16189.016,20833.277,16652.797,13338.079,11277.381,9294.002,,,,,,,,,
        First Citizens BancShares Inc/,FCNCA US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,37527,37800.85,19669.96,4960.965,6164.892,3461.899,2867.481,2303.05,2168.393,1973.182,1650.832,966.491,1701.542,1758.124,1800.225,1730.212,1695.974,1490.496,1275.755,1047.295,900.583,862.37,857.265,854.326,,,,,,,,,
        Flagstar Financial Inc,FLG US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,9367.377,12136.962,5116.49,2042.838,1801.171,1744.738,1705.713,1376.492,1340.139,1084.012,1065.683,728.323,619.805,657.201,712.385,653.651,713.531,706.562,643.147,163.548,89.19,65.518,60.159,1.116,,,,,,,,,
        Huntington Bancshares Inc/OH,HBAN US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,37489.753,34994.382,32896.283,32538.833,26412.389,22656.545,22602.984,19914.337,19320.076,14331.907,12924.836,11933.986,11541.576,9903.904,8355.022,7280.356,7461.769,6589.402,4290.071,3818.864,3787.249,3911.26,4066.394,4976.098,,,,,,,,,
        JPMorgan Chase & Co,JPM US Equity,F0090,FED_C&I_LOANS_CONSOLIDATED,Dynamic,209303,203463,203114,184118,194307,170132,187705,163990,159097,142509,132264,131108,140042,122986,98133,104288,151237,140945,102957,95807,71071,45508,52377,62210,,,,,,,,,
