Description,Ticker,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
C&I loans,,Expression,23.73323,26.705959,26.326224,24.295381,26.859913,26.102493,27.147527,26.586195,25.577669,25.271007,23.877833,23.824327,21.459746,19.419486,17.610915,17.249338,19.655014,19.979724,17.303222,18.850216,16.991505,19.97549,22.27378,26.095436,,,,,,,,,
    C&I Loans by Company,,Median,23.73323023,26.70595905,26.32622377,24.29538089,26.85991272,26.10249271,27.14752713,26.58619505,25.5776687,25.27100657,23.87783259,23.82432713,21.45974558,19.4194857,17.61091475,17.24933754,19.65501408,19.97972368,17.30322193,18.85021586,16.99150539,19.97548995,22.27378045,26.09543609,,,,,,,,,
        Bank of America Corp,BAC US Equity,Dynamic,28.7423555,28.9788304,30.44146895,28.68412824,29.91458876,28.91833796,28.52822375,27.3782043,26.68682956,25.22350348,23.49629203,23.93372678,21.77040246,19.12452678,15.88573809,17.2333147,19.65501408,19.46889137,17.30322193,19.15313657,17.86603556,18.55823874,23.81164712,30.79628763,,,,,,,,,
        Citigroup Inc,C US Equity,Dynamic,22.31575842,23.19806584,23.137617,22.57165142,24.12619061,24.6324665,25.42277195,25.37212881,24.12131228,24.53525619,22.95991591,22.15935275,20.79034822,19.09885964,16.42750576,18.70658361,20.78668139,23.71330206,22.0096331,20.58731254,19.56191443,18.9648379,22.27378045,27.11580638,,,,,,,,,
        Citizens Financial Group Inc,CFG US Equity,Dynamic,18.43603899,26.70595905,29.75513251,31.32080663,31.12606463,29.8786635,30.54992745,28.78761576,29.35811046,27.42224815,26.96048535,26.51347377,24.72852994,21.65887078,17.76294928,15.76918759,17.49847505,18.28904082,15.31203162,12.01121305,12.14028592,19.97548995,26.08198495,32.86092011,,,,,,,,,
        Capital One Financial Corp,COF US Equity,Dynamic,13.73286752,14.39080877,15.22633026,14.30954365,13.82445772,14.02986026,13.69209138,11.38914648,11.94091491,11.61145264,10.60465996,9.692117264,8.752207138,12.7169616,12.66444295,13.72656059,15.37717652,15.95691566,10.65379964,9.364286841,6.944850067,,,,,,,,,,,,
        Comerica Inc,CMA US Equity,Dynamic,,47.3187506,47.97296032,46.52979246,48.35933915,51.37764015,53.90094737,54.82089072,54.26372241,55.8879253,58.97697481,58.58435607,56.61399542,54.7854738,52.78863786,48.73019906,48.37997867,48.63494438,49.35690532,48.43332441,53.96045829,55.27802414,57.24050216,59.20519849,,,,,,,,,
        East West Bancorp Inc,EWBC US Equity,Dynamic,,19.60633583,20.50481031,22.84142884,26.85991272,28.0249736,29.25981893,29.9087175,30.69738954,31.55857581,32.34598039,30.55598564,31.47172982,25.86557952,21.0300956,18.31555195,18.84709934,20.41844202,14.90782641,12.78472019,11.45537098,12.95437122,14.06180233,16.44361356,,,,,,,,,
        Fifth Third Bancorp,FITB US Equity,Dynamic,36.26225806,38.14406693,39.99970593,37.35320625,39.68593493,41.20239118,39.88083877,39.03171714,38.67269926,38.57083546,37.73841143,37.2309605,34.87143014,30.47787707,28.07043564,27.96754615,29.33633865,25.71813846,21.44184639,29.24833262,27.58594511,24.61400276,22.88025792,21.23898631,,,,,,,,,
        First Citizens BancShares Inc/,FCNCA US Equity,Dynamic,26.74711161,28.34182171,27.76944638,15.27848727,18.72870313,11.95846265,11.21477399,9.738876905,9.941157455,9.720225209,8.765559855,7.332458033,12.63050801,12.52552662,13.25941056,13.42769336,14.47165079,13.59457361,12.45909122,10.8606829,9.627386594,10.35681079,11.24980857,11.87194256,,,,,,,,,
        Flagstar Financial Inc,FLG US Equity,Dynamic,13.54224757,14.14549053,7.297104237,4.466341969,4.188698267,4.164633467,4.246668593,3.582447482,3.393615504,2.838432676,2.97324287,2.210804394,1.950116007,2.166421176,2.43715454,2.301384145,3.213147041,3.467453529,3.267363758,0.959863595,0.66548999,0.623560316,1.094564205,0.020648538,,,,,,,,,
        Huntington Bancshares Inc/OH,HBAN US Equity,Dynamic,28.68476853,28.56727994,27.23828468,28.64414427,31.86707763,29.70128613,29.85719143,28.20553234,28.63916743,28.21084765,26.89174095,27.47336043,27.82081809,24.43750808,21.48939948,19.55376725,17.99709741,16.25828714,16.23477764,15.42050248,15.93098832,18.37158881,21.30006989,26.09543609,,,,,,,,,
        JPMorgan Chase & Co,JPM US Equity,Dynamic,14.95110067,14.8341301,17.14146345,16.18803363,18.320859,17.12471615,18.49738609,17.13890361,17.44086875,16.75133885,16.82133877,17.13597106,18.45873601,16.56660466,13.49979778,16.02421579,19.86859979,25.3715411,21.31054567,21.34318583,16.38199688,20.73087401,24.22024203,28.61585026,,,,,,,,,
        KeyCorp,KEY US Equity,Dynamic,28.37425008,38.44900453,39.5841224,38.94535322,41.03093575,39.11119428,38.95644206,36.2009298,35.29354295,38.21482997,36.24830147,33.08259527,30.89470526,26.92284347,22.94696835,24.49138162,28.43401179,27.76961979,27.37968314,28.66669392,25.71229566,25.22951066,26.24462661,26.82806826,,,,,,,,,
        M&T Bank Corp,MTB US Equity,Dynamic,25.22446721,24.03719649,22.87824447,19.4508708,22.76468527,21.01828309,20.58260215,19.31583298,19.66481701,19.01407848,23.87783259,23.82432713,21.45974558,21.25869765,20.47651429,20.04263614,22.78065617,22.14238887,22.8945817,22.46455518,21.11073832,21.3271628,18.87202955,18.58508657,,,,,,,,,
        PNC Financial Services Group I,PNC US Equity,Dynamic,,39.09692359,40.45653921,36.6197924,39.20778463,38.7054213,37.75245864,34.69594682,33.09820208,32.00043626,31.56858107,29.64178103,29.18926717,28.87467143,26.68531803,25.91887893,29.54235896,29.54750999,31.97720994,28.84154757,32.0721217,33.28407353,34.31551684,34.68290474,,,,,,,,,
        Regions Financial Corp,RF US Equity,Dynamic,,32.28468439,33.6620543,31.8358979,31.58987655,29.53827751,29.16634933,27.84102789,27.55063159,29.56681621,29.57728803,27.06380243,24.70221813,21.41300186,17.81931757,14.74451967,16.72964078,16.35809441,15.54208208,16.16941907,16.99150539,,,,,,,,,,,,
        Truist Financial Corp,TFC US Equity,Dynamic,23.73323023,27.0848692,26.25711973,22.98887284,24.3030416,23.6581607,20.38986407,18.85013812,18.16591912,17.30453787,15.86062207,14.69712734,13.83642964,13.58877709,12.73218826,13.5124237,14.76390121,13.47245439,10.96103724,10.85100448,11.11783493,11.49333163,12.86787902,13.54604146,,,,,,,,,
        US Bancorp,USB US Equity,Dynamic,25.02007034,25.99804274,26.32622377,25.45629653,24.95562343,26.10249271,27.14752713,25.51900306,24.91694592,25.27100657,24.07503142,22.042777,21.01032496,19.4194857,17.61091475,18.03515314,22.31180081,23.53478814,22.81328948,22.4321108,22.85877546,23.0679881,24.36425546,29.24973342,,,,,,,,,
        Wells Fargo & Co,WFC US Equity,Dynamic,20.41056654,20.42241907,20.28207744,18.34610957,17.59279271,19.136163,20.07112031,19.08354731,18.76586561,17.73278336,18.28015162,18.18454549,18.52810449,18.05215506,15.69121925,17.24933754,20.75472757,19.38296118,17.14206021,14.86634298,14.29452105,14.61928128,15.91846038,19.90570626,,,,,,,,,
        Western Alliance Bancorp,WAL US Equity,Dynamic,17.80708857,17.05838274,22.35566775,24.29538089,28.22522057,24.7207254,24.60963978,26.58619505,25.5776687,28.65660028,22.88847756,19.17419467,18.25031617,17.07145985,16.42259973,16.26883097,19.4454723,19.97972368,20.7053202,18.85021586,20.1246746,21.61321555,20.2068076,20.86901473,,,,,,,,,
        Zions Bancorp NA,ZION US Equity,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
