Description,Ticker,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
    Commercial Real Estate,,Expression,740520.022,878558.959,841451.189,754803.729,724429.662,714251.599,674032.724,671177.143,668798.931,613191.279,553661.273,538003.455,524960.465,525439.601,554012.429,624666.776,634556.157,467501.004,56861.844,47228.684,42432.822,33176.94,29786.624,23103.47,13564.111,12340.942,11169.294,7491.998,5814.131,5121.044,3506.036,2738.346,1878.618
        CRE by Company,,Sum,740520.022,878558.959,841451.189,754803.729,724429.662,714251.599,674032.724,671177.143,668798.931,613191.279,553661.273,538003.455,524960.465,525439.601,554012.429,624666.776,634556.157,467501.004,56861.844,47228.684,42432.822,33176.94,29786.624,23103.47,13564.111,12340.942,11169.294,7491.998,5814.131,5121.044,3506.036,2738.346,1878.618
            Bank of America Corp,BAC US Equity,Dynamic,77108,80455,79083,77538,75585,78054,73778,74053,74200,75246,62267,66391,61868.643,63397.003,78586.465,98790.174,105167.917,103562.928,7949.392,6619.914,4236.377,3530.315,3794,3813,,,,,,,,,
            Citigroup Inc,C US Equity,Dynamic,26022,26641,27148,27498,25899,25137,25049,19712,15561,12173,10681,10018,8940,8607,11518,22535,23516,21906,10099,9367,9674,8907,8598,3507,1789.53,1720.414,1757.621,,,,,,
            Citizens Financial Group Inc,CFG US Equity,Dynamic,30216.67,32470.03,32776.513,17114.733,17881.263,17129.416,16632.873,15312.878,13638.348,11997.605,10353.702,10565.642,11488.773,12890.806,13868.047,15030.448,15253.687,11676.735,1041.67,1236.299,1268.371,280.846,210.355,241.959,,,,,,,,,
            Capital One Financial Corp,COF US Equity,Dynamic,26205.479,28950.135,30340.308,32035.034,32071.86,31071.784,30797.63,29416.893,30214.211,28262.729,23354.245,21703.064,19551.6,18913.895,17764.816,19107.247,18901.184,18322.043,5335.988,189.494,0,,,,,,,,,,,,
            Comerica Inc,CMA US Equity,Dynamic,,18373,15892,13669,13459,12532,11734.048,11757.696,11603.868,10852.83,10376.252,10273.226,10359.722,11193.147,11712.348,14142.164,17646.64,18038.677,18.38,12.123,12.46,24.816,44.429,69.725,62.838,69.79,88.874,79.639,95.145,64.889,124.377,95.661,132.634
            East West Bancorp Inc,EWBC US Equity,Dynamic,,20451.072,19045.53,16288.389,14902.964,13998.132,12537.011,11816.342,10518.798,9974.412,8362.666,6989.171,6749.741,7436.431,8116.022,9150.151,5981.506,6417.848,1583.573,1241.044,1123.061,812.225,631.703,379.827,325.173,312.704,167.322,,,,,,
            Fifth Third Bancorp,FITB US Equity,Dynamic,16771,16109,15331.22,14407.945,15539.885,15388.257,11221.126,10863.759,11207.855,10456.695,9803.936,9658.515,10660.053,12760.798,15094.589,18061.043,21061.866,21244.799,1154.831,880.092,822.192,781.496,741.473,721.078,385.35,346.754,144.177,112.465,85.258,94.424,116.324,83.844,63.303
            First Citizens BancShares Inc/,FCNCA US Equity,Dynamic,38533,34830.968,27568.207,16658.418,15727.582,14475.444,12453.044,11510.823,10744.682,10013.619,9166.246,7751.312,7326.959,7633.436,7194.36,6270.338,5274.175,4941.007,167.025,175.607,175.021,164.596,153.678,153.131,186.777,161.356,160.826,148.771,134.012,130.328,109.955,56.14,47.883
