Description,Ticker,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
Consumer loans & leases,,Expression,15.528824,12.732902,12.422661,15.510507,12.770245,12.992683,12.433246,12.52449,13.30658,13.760438,13.491292,13.741982,13.105526,13.88062,13.118575,11.292909,11.593709,12.479387,11.470708,12.487231,14.878377,15.704399,15.143427,14.221251,,,,,,,,,
    Consumer Loans by Company,,Median,15.52882415,12.7329024,12.42266063,15.5105066,12.77024538,12.99268265,12.43324566,12.5244902,13.30657966,13.76043815,13.49129153,13.74198203,13.10552577,13.88061967,13.11857466,11.29290857,11.59370881,12.4793869,11.4707084,12.48723148,14.87837656,15.70439913,15.14342746,14.22125083,,,,,,,,,
        Bank of America Corp,BAC US Equity,Dynamic,16.97694265,17.45099696,17.14037766,16.37924814,16.04235214,17.03287889,17.93029234,17.89595709,18.36868528,19.08497322,19.78483652,18.90711702,19.31802728,21.01268662,23.9848666,18.24198049,17.88011161,18.03123796,19.33439517,17.55473381,17.20282791,17.94611241,16.66778842,15.03173653,,,,,,,,,
        Citigroup Inc,C US Equity,Dynamic,26.98253278,26.76741599,26.03871854,24.41267815,24.92038618,27.90304852,27.25799139,27.52490054,27.92068546,26.06188671,27.4327584,28.27609561,28.97696546,29.93239825,33.37014238,27.16081592,27.28965203,26.20553052,25.88964664,27.94947413,31.58864162,35.14594399,30.64285328,29.99323731,,,,,,,,,
        Citizens Financial Group Inc,CFG US Equity,Dynamic,14.01015206,16.45024983,18.51121504,23.99900978,22.68975907,22.52494802,21.21029768,22.0401321,21.02285749,20.07236254,18.72639949,16.64441057,16.30518886,15.29453209,17.06094576,18.80406651,19.12004335,19.75897681,21.72245029,24.90088576,24.80360365,24.77242474,26.71221185,24.67856833,,,,,,,,,
        Capital One Financial Corp,COF US Equity,Dynamic,68.9748204,67.36502306,65.51149486,65.70400144,65.64738459,67.48674684,66.53314595,63.09893364,59.38975469,57.22048705,57.01917441,55.07678521,55.61970833,60.45833373,58.74341645,42.96846131,51.32462513,50.15102211,48.54721485,73.2178846,91.61385783,,,,,,,,,,,,
        Comerica Inc,CMA US Equity,Dynamic,,0.960932276,0.998071269,1.142196344,1.164525011,1.107670319,1.149662639,1.214215418,1.227505147,1.344027188,1.317718637,1.289807616,1.141580785,1.305632579,1.274396382,1.459118373,1.478201757,1.304055854,1.313390875,1.640546977,2.0032574,1.939449565,1.859838212,2.013483636,,,,,,,,,
        East West Bancorp Inc,EWBC US Equity,Dynamic,,0.021964763,0.022565147,0.023154587,0.035869775,0.078173671,0.142194855,0.229446629,0.343921023,0.339994387,0.236963976,4.67489221,4.085164272,3.723702417,4.827414383,2.822708916,0.333893156,0.343251097,0.18688667,0.277640891,0.324492201,0.591677511,0.897745697,0.91934862,,,,,,,,,
        Fifth Third Bancorp,FITB US Equity,Dynamic,20.59602594,20.0617284,19.18748592,18.39731137,16.39573411,15.18501538,14.48474709,14.07069441,14.06611809,15.70363435,16.58548771,16.61707361,16.37509595,16.87723473,16.97716321,14.83502387,13.51108959,16.89657426,15.53009188,15.47167227,15.20994547,18.25671112,14.28080966,12.23806627,,,,,,,,,
        First Citizens BancShares Inc/,FCNCA US Equity,Dynamic,1.928682922,1.963106871,2.917929571,5.788059062,5.494985359,6.152604729,6.708821981,6.610972326,6.638050063,6.020239849,5.94944736,2.938343961,3.105588218,3.577723462,4.908255979,7.34552284,10.52175965,12.4793869,13.2512451,13.63867902,14.88031231,15.65231082,15.14342746,14.92743994,,,,,,,,,
