date,value_pop
2010-09-01,310168.926
2010-10-01,310390.859
2010-11-01,310585.106
2010-12-01,310769.486
2011-01-01,310946.962
2011-02-01,311098.039
2011-03-01,311248.506
2011-04-01,311417.782
2011-05-01,311587.063
2011-06-01,311769.648
2011-07-01,311973.914
2011-08-01,312180.558
2011-09-01,312402.633
2011-10-01,312616.001
2011-11-01,312799.689
2011-12-01,312978.205
2012-01-01,313149.997
2012-02-01,313304.12
2012-03-01,313462.838
2012-04-01,313628.923
2012-05-01,313790.652
2012-06-01,313976.041
2012-07-01,314167.558
2012-08-01,314377.381
2012-09-01,314600.057
2012-10-01,314805.556
2012-11-01,315003.708
2012-12-01,315180.866
2013-01-01,315335.976
2013-02-01,315464.793
2013-03-01,315605.141
2013-04-01,315759.039
2013-05-01,315923.105
2013-06-01,316108.76
2013-07-01,316294.766
2013-08-01,316514.531
2013-09-01,316738.543
2013-10-01,316952.905
2013-11-01,317156.876
2013-12-01,317338.617
2014-01-01,317519.206
2014-02-01,317677.384
2014-03-01,317838.92
2014-04-01,318009.154
2014-05-01,318187.658
2014-06-01,318380.521
2014-07-01,318576.955
2014-08-01,318806.531
2014-09-01,319036.2
2014-10-01,319262.799
2014-11-01,319471.435
2014-12-01,319651.541
2015-01-01,319832.19
2015-02-01,319976.213
2015-03-01,320130.646
2015-04-01,320300.314
2015-05-01,320480.147
2015-06-01,320667.889
2015-07-01,320870.703
2015-08-01,321093.062
2015-09-01,321316.348
2015-10-01,321539.88
2015-11-01,321741.248
2015-12-01,321926.178
2016-01-01,322114.094
2016-02-01,322277.451
2016-03-01,322428.943
2016-04-01,322596.809
2016-05-01,322773.714
2016-06-01,322960.309
2016-07-01,323161.011
2016-08-01,323369.427
2016-09-01,323576.012
2016-10-01,323783.987
2016-11-01,323968.882
2016-12-01,324135.365
2017-01-01,324296.746
2017-02-01,324427.384
2017-03-01,324559.999
2017-04-01,324704.641
2017-05-01,324861.316
2017-06-01,325027.016
2017-07-01,325206.03
2017-08-01,325386.457
2017-09-01,325565.293
2017-10-01,325741.643
2017-11-01,325898.856
2017-12-01,326036.736
2018-01-01,326163.263
2018-02-01,326268.894
2018-03-01,326377.173
2018-04-01,326496.848
2018-05-01,326628.822
2018-06-01,326769.726
2018-07-01,326923.976
2018-08-01,327086.833
2018-09-01,327248.127
2018-10-01,327407.004
2018-11-01,327546.8
2018-12-01,327667.595
2019-01-01,327776.541
2019-02-01,327871.957
2019-03-01,327970.02
2019-04-01,328079.473
2019-05-01,328201.245
2019-06-01,328331.949
2019-07-01,328475.998
2019-08-01,328646.02
2019-09-01,328814.479
2019-10-01,328980.52
2019-11-01,329127.484
2019-12-01,329255.444
2020-01-01,329371.559
2020-02-01,329474.136
2020-03-01,329579.358
2020-04-01,331762.541
2020-05-01,331737.583
2020-06-01,331765.357
2020-07-01,331824.013
2020-08-01,331898.856
2020-09-01,331973.361
2020-10-01,332059.986
2020-11-01,332123.246
2020-12-01,332135.371
2021-01-01,332090.341
2021-02-01,332026.215
2021-03-01,332042.172
2021-04-01,332105.998
2021-05-01,332174.301
2021-06-01,332249.03
2021-07-01,332349.6
2021-08-01,332559.494
2021-09-01,332727.61
2021-10-01,332882.656
2021-11-01,333039.585
2021-12-01,333193.936
2022-01-01,333326.872
2022-02-01,333393.36
2022-03-01,333519.882
2022-04-01,333700.235
2022-05-01,333883.916
2022-06-01,334068.202
2022-07-01,334267.013
2022-08-01,334518.533
2022-09-01,334786.347
2022-10-01,335038.543
2022-11-01,335271.218
2022-12-01,335501.193
2023-01-01,335706.484
2023-02-01,335908.022
2023-03-01,336121.03
2023-04-01,336342.473
2023-05-01,336560.098
2023-06-01,336798.303
2023-07-01,337051.669
2023-08-01,337348.812
2023-09-01,337653.367
2023-10-01,337946.549
2023-11-01,338229.634
2023-12-01,338502.549
2024-01-01,338749.367
2024-02-01,338983.962
2024-03-01,339244.151
2024-04-01,339511.216
2024-05-01,339783.998
2024-06-01,340069.734
2024-07-01,340355.92
2024-08-01,340539.346
2024-09-01,340734.171
2024-10-01,340916.485
2024-11-01,341088.462
2024-12-01,341249.828
2025-01-01,341390.432
2025-02-01,341516.595
2025-03-01,341658.744
2025-04-01,341799.165
2025-05-01,341948.98
2025-06-01,342114.229
2025-07-01,342279.364
2025-08-01,342459.638
2025-09-01,342651.308
2025-10-01,342830.439
2025-11-01,342999.27
2025-12-01,343157.45
